Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	3	119	191	3	140	224	10	140	280	10	140	280	10	385	2490	21	385	2490	4	6	8	4	6	8	30	78	114	30	78	114
2	7	132	210	7	156	247	15	163	330	15	163	330	11	407	2556	27	407	2556	6	8	12	6	8	12	40	104	152	40	104	152
3	11	145	230	11	171	270	23	187	379	23	187	379	14	432	2625	36	432	2625	6	8	12	6	8	12	50	131	193	50	131	193
4	15	158	249	15	187	293	33	210	429	33	210	429	18	450	2691	45	450	2691	8	10	14	8	10	14	60	156	229	60	156	229
5	19	172	269	19	202	315	45	234	478	45	234	478	20	475	2760	51	475	2760	8	10	14	8	10	14	70	182	267	70	182	267
6	23	185	288	23	218	339	58	257	527	58	257	527	24	500	2826	60	500	2826	10	14	18	10	14	18	80	207	304	80	207	304
7	27	198	306	27	234	361	72	280	577	72	280	577	28	522	2895	69	522	2895	10	14	18	10	14	18	90	234	343	90	234	343
8	31	211	327	31	249	384	87	304	626	87	304	626	32	547	2961	81	547	2961	12	16	22	12	16	22	100	260	381	100	260	381
9	35	224	347	35	265	408	101	327	676	101	327	676	71	527	2828	86	527	2828	13	17	24	13	17	24	110	285	418	110	285	418
10	39	239	365	39	280	430	115	351	725	115	351	725	81	551	2889	98	551	2889	13	17	24	13	17	24	120	312	457	120	312	457
11	42	252	386	42	296	453	130	374	774	130	374	774	83	574	2954	100	574	2954	15	20	28	15	20	28	130	338	494	130	338	494
12	46	265	404	46	312	475	144	397	824	144	397	824	93	594	3015	112	594	3015	15	20	28	15	20	28	140	363	531	140	363	531
13	50	278	423	50	327	499	158	421	873	158	421	873	102	618	3080	123	618	3080	17	22	32	17	22	32	154	401	586	154	401	586
14	54	291	444	54	343	522	172	444	923	172	444	923	111	635	3141	134	635	3141	19	24	36	19	24	36	169	440	642	169	440	642
15	58	305	462	58	358	544	187	468	972	187	468	972	120	658	3206	145	658	3206	19	24	36	19	24	36	186	482	702	186	482	702
16	62	318	482	62	374	568	201	491	1021	201	491	1021	130	682	3267	156	682	3267	20	28	38	20	28	38	205	533	776	205	533	776
17	66	331	501	66	390	590	215	514	1071	215	514	1071	140	702	3332	168	702	3332	20	28	38	20	28	38	225	584	849	225	584	849
18	70	344	521	70	405	613	230	538	1120	230	538	1120	149	725	3393	179	725	3393	22	30	41	22	30	41	248	644	935	248	644	935
19	74	357	542	74	421	637	244	561	1170	244	561	1170	146	689	3211	176	689	3211	23	30	43	23	30	43	273	708	1026	273	708	1026
20	78	371	560	78	436	659	258	585	1219	258	585	1219	157	710	3268	189	710	3268	23	30	43	23	30	43	300	779	1128	300	779	1128
21	81	384	579	81	452	682	273	608	1268	273	608	1268	168	736	3328	202	736	3328	25	34	46	25	34	46	330	857	1239	330	857	1239
22	85	397	599	85	468	704	287	631	1318	287	631	1318	181	757	3385	218	757	3385	25	34	46	25	34	46	363	942	1359	363	942	1359
23	89	410	618	89	483	728	301	655	1367	301	655	1367	192	773	3445	231	773	3445	27	36	50	27	36	50	399	1035	1491	399	1035	1491
24	93	423	638	93	499	751	315	678	1417	315	678	1417	203	796	3502	244	796	3502	28	37	54	28	37	54	439	1139	1637	439	1139	1637
25	97	438	657	97	514	773	330	702	1466	330	702	1466	216	814	3562	260	814	3562	28	37	54	28	37	54	470	1220	1750	470	1220	1750
26	101	451	677	101	530	796	344	725	1515	344	725	1515	229	835	3619	275	835	3619	30	41	55	30	41	55	503	1305	1868	503	1305	1868
27	105	464	696	105	546	819	358	748	1565	358	748	1565	244	858	3679	293	858	3679	30	41	55	30	41	55	538	1397	1995	538	1397	1995
28	109	477	716	109	561	842	373	772	1614	373	772	1614	260	874	3736	312	874	3736	32	43	59	32	43	59	576	1494	2128	576	1494	2128
29	113	490	735	113	577	865	387	795	1664	387	795	1664	251	826	3504	302	826	3504	32	42	59	32	42	59	616	1598	2271	616	1598	2271
30	117	504	755	117	592	887	401	819	1713	401	819	1713	267	922	3556	321	922	3556	32	42	59	32	42	59	659	1709	2423	659	1709	2423
31	120	517	774	120	608	911	416	842	1762	416	842	1762	283	1022	3612	340	1022	3612	34	45	62	34	45	62	706	1832	2591	706	1832	2591
32	124	530	793	124	624	933	430	865	1812	430	865	1812	300	1117	3664	360	1117	3664	34	45	62	34	45	62	755	1958	2762	755	1958	2762
33	128	543	813	128	639	956	444	889	1861	444	889	1861	315	1218	3720	379	1218	3720	35	47	66	35	47	66	808	2097	2950	808	2097	2950
34	132	556	833	132	655	980	458	912	1911	458	912	1911	331	1313	3772	398	1313	3772	37	49	69	37	49	69	864	2241	3144	864	2241	3144
35	136	570	851	136	670	1002	473	936	1960	473	936	1960	347	1414	3828	417	1414	3828	37	49	69	37	49	69	925	2399	3355	925	2399	3355
36	140	583	872	140	686	1025	487	959	2009	487	959	2009	363	1512	3880	436	1512	3880	39	52	73	39	52	73	990	2568	3580	990	2568	3580
37	144	596	890	144	702	1047	501	982	2059	501	982	2059	380	1609	3936	456	1609	3936	39	52	73	39	52	73	1059	2745	3816	1059	2745	3816
38	148	609	910	148	717	1071	516	1006	2108	516	1006	2108	395	1708	3988	475	1708	3988	40	54	74	40	54	74	1133	2939	4072	1133	2939	4072
39	152	622	930	152	733	1094	530	1029	2158	530	1029	2158	377	1655	3707	453	1655	3707	40	52	73	40	52	73	1212	3144	4341	1212	3144	4341
40	156	637	949	156	748	1116	544	1053	2207	544	1053	2207	394	1745	3755	473	1745	3755	40	52	73	40	52	73	1297	3365	4631	1297	3365	4631
41	159	650	968	159	764	1140	559	1076	2256	559	1076	2256	412	1837	3806	495	1837	3806	41	56	76	41	56	76	1388	3600	4936	1388	3600	4936
